Roll Year,Jurisdiction,Roll Number (Formatted),Mailing Address Line 6,Situs Unit Number,Situs Street Address,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total
2023,District of Oak Bay,01-0033-00,V8S 2M4,,418 BEACH,4248000,2480000,2309000,4789000
2023,District of Oak Bay,01-0034-00,V8S 4X4,,483 ST. PATRICK,1761000,1542000,362000,1904000
2023,District of Oak Bay,01-0034-01,V8S 4Z4,,406 BEACH,1830000,1979000,158000,2137000
2023,District of Oak Bay,01-0035-00,V8S 4Z5,,500 TRANSIT,2266000,2322000,386000,2708000
2023,District of Oak Bay,01-0036-00,V8S 4Z5,,520 TRANSIT,1755000,1915000,200000,2115000
2023,District of Oak Bay,01-0037-00,V8S 4Z5,,590 TRANSIT,2912000,2724000,774000,3498000
2023,District of Oak Bay,01-0038-00,V8S 4Z5,,600 TRANSIT,2370000,2086000,735000,2821000
2023,District of Oak Bay,01-0039-00,V8S 4Z5,,608 TRANSIT,1800000,1993000,191000,2184000
2023,District of Oak Bay,01-0040-00,V8S 4Z5,,628 TRANSIT,3679000,2298000,2144000,4442000
2023,District of Oak Bay,01-0041-00,V8N 1B8,,607 ST. PATRICK,1247400,1302000,41600,1343600
2023,District of Oak Bay,01-0042-00,V8S 4X4,,599 ST. PATRICK,1673000,1302000,525000,1827000
2023,District of Oak Bay,01-0043-00,V8S 4X4,,591 ST. PATRICK,1259000,1300000,57200,1357200
2023,District of Oak Bay,01-0044-00,V8S 4X4,,583 ST. PATRICK,1564000,1522000,154000,1676000
2023,District of Oak Bay,01-0044-00,V8S 4X4,,583 ST. PATRICK,1564000,1522000,154000,1676000
2023,District of Oak Bay,01-0045-00,V8S 4X4,,575 ST. PATRICK,1544000,1524000,1744000,3268000
2023,District of Oak Bay,01-0046-00,V8S 4X4,,555 ST. PATRICK,1572000,1519000,187000,1706000
2023,District of Oak Bay,01-0046-00,V8S 4X4,,555 ST. PATRICK,1572000,1519000,187000,1706000
2023,District of Oak Bay,01-0047-00,V8S 4X4,,563 ST. PATRICK,1650000,1515000,259000,1774000
2023,District of Oak Bay,01-0048-00,V8S 4X4,,509 ST. PATRICK,2221000,1784000,629000,2413000
2023,District of Oak Bay,01-0049-00,V8S 4X4,,499 ST. PATRICK,2425000,2103000,530000,2633000
2023,District of Oak Bay,01-0050-00,V8S 4Z6,,764 TRANSIT,1904000,1882000,180000,2062000
2023,District of Oak Bay,01-0052-00,V8S 2V1,,929 ISLAND,1506500,1532000,103000,1635000
2023,District of Oak Bay,01-0052-00,V8X 3T3,,929 ISLAND,1506500,1532000,103000,1635000
2023,District of Oak Bay,01-0055-00,V8R 1G2,,577 BEACH,657000,757000,0,757000
2023,District of Oak Bay,01-0055-00,V8R 1G2,,577 BEACH,657000,757000,0,757000
2023,District of Oak Bay,01-0055-00,V8R 1G2,,577 BEACH,657000,757000,0,757000
2023,District of Oak Bay,01-0056-00,V8S 2M6,,495 BEACH,1631000,1431000,69900,1500900
2023,District of Oak Bay,01-0057-00,V8S 4Z4,,681 TRANSIT,2110000,2010000,514000,2524000
2023,District of Oak Bay,01-0058-00,V8R 1G2,, BEACH,113000,132000,0,132000
2023,District of Oak Bay,01-0060-00,V8S 2Z3,,2453 MCNEILL,1403000,1193000,315000,1508000
2023,District of Oak Bay,01-0061-00,V8S 2Z2,,2467 MCNEILL,1286000,1201000,175000,1376000
2023,District of Oak Bay,01-0062-00,V8S 2Z3,,2479 MCNEILL,1413000,1209000,307000,1516000
2023,District of Oak Bay,01-0063-00,V8S 2Z3,,2485 MCNEILL,2477000,1217000,1648000,2865000
2023,District of Oak Bay,01-0064-00,V8S 2Z3,,2495 MCNEILL,1852000,1237000,814000,2051000
2023,District of Oak Bay,01-0067-00,V8S 5B4,,966 BYNG,2681000,1863000,1094000,2957000
2023,District of Oak Bay,01-0116-00,V8R 5A6,,1897 FOUL BAY,1301000,903000,494000,1397000
2023,District of Oak Bay,01-0116-00,V8R 5A6,,1897 FOUL BAY,1301000,903000,494000,1397000
2023,District of Oak Bay,01-0116-00,V8T 2G2,,1897 FOUL BAY,1301000,903000,494000,1397000
2023,District of Oak Bay,01-0116-00,V8T 2G2,,1897 FOUL BAY,1301000,903000,494000,1397000
2023,District of Oak Bay,01-0117-00,V8R 5A6,,1899 FOUL BAY,928000,902000,112000,1014000
2023,District of Oak Bay,01-0117-00,V8R 5A6,,1899 FOUL BAY,928000,902000,112000,1014000
2023,District of Oak Bay,01-0118-00,V8R 1T3,,2023 GOLDSMITH,1100000,954000,259000,1213000
2023,District of Oak Bay,01-0119-00,V8R 1T3,,2029 GOLDSMITH,1146000,955000,466000,1421000
2023,District of Oak Bay,01-0120-01,V8R 1T3,,2033 GOLDSMITH,1241000,955000,428000,1383000
2023,District of Oak Bay,01-0120-02,V8R 1T3,,2039 GOLDSMITH,1297000,955000,500000,1455000
2023,District of Oak Bay,01-0121-00,V8R 1T5,,2045 GOLDSMITH,1057000,955000,203000,1158000
2023,District of Oak Bay,01-0122-00,V8R 1T5,,2055 GOLDSMITH,934900,956000,65700,1021700
2023,District of Oak Bay,01-0123-00,V8R 1T5,,2065 GOLDSMITH,959800,956000,95800,1051800
2023,District of Oak Bay,01-0124-00,V8R 1T5,,2069 GOLDSMITH,1017000,956000,155000,1111000
2023,District of Oak Bay,01-0125-00,V8R 1T5,,2075 GOLDSMITH,1218000,956000,302000,1258000
2023,District of Oak Bay,01-0125-00,V8R 1T5,,2075 GOLDSMITH,1218000,956000,302000,1258000
2023,District of Oak Bay,01-0126-00,V8R 1T5,,2085 GOLDSMITH,1021000,956000,160000,1116000
2023,District of Oak Bay,01-0127-00,V8R 1T5,,2095 GOLDSMITH,1028000,1025000,94300,1119300
2023,District of Oak Bay,01-0128-00,V8R 1G2,, FOUL BAY,449000,481000,0,481000
2023,District of Oak Bay,01-0129-00,V8R 1G2,, FOUL BAY,222000,255000,0,255000
2023,District of Oak Bay,01-0130-00,V8S 4G2,,1011 AMPHION,316000,328000,10000,338000
2023,District of Oak Bay,01-0134-00,V8R 1G2,, BRIGHTON,2900,3100,0,3100
2023,District of Oak Bay,01-0135-00,V8S 4G2,,1007 AMPHION,199000,213000,0,213000
2023,District of Oak Bay,01-0136-00,V8S 4G2,,1003 AMPHION,232100,234000,11700,245700
2023,District of Oak Bay,01-0137-00,V8S 2E4,,2002 BRIGHTON,1316000,1222000,200000,1422000
2023,District of Oak Bay,01-0139-01,V8R 1G2,, FOUL BAY,449000,481000,0,481000
2023,District of Oak Bay,01-0140-00,V8S 4J2,,1054 FOUL BAY,1266000,1050000,333000,1383000
2023,District of Oak Bay,01-0141-00,V0N 1P0,,1958 GRANITE,102000,110000,0,110000
2023,District of Oak Bay,01-0142-00,V8S 4J2,,1058 FOUL BAY,879000,644000,314000,958000
2023,District of Oak Bay,01-0143-00,V9R 2P1,,1056 FOUL BAY,785100,792000,50600,842600
2023,District of Oak Bay,01-0145-00,V8P 3C8,,960 FOUL BAY,2726000,2076000,871000,2947000
2023,District of Oak Bay,01-0147-00,V8S 4H8,,948 FOUL BAY,2092000,1472000,806000,2278000
2023,District of Oak Bay,01-0151-00,V8S 4H8,,936 FOUL BAY,1760000,1217000,760000,1977000
2023,District of Oak Bay,01-0158-00,V8S 2G9,,1915 CRESCENT,2064000,1890000,440000,2330000
2023,District of Oak Bay,01-0159-00,V8S 2G9,,1921 CRESCENT,2533900,2271000,106000,2377000
2023,District of Oak Bay,01-0160-01,V8S 2G9,,1927 CRESCENT,5970000,2283000,3258000,5541000
2023,District of Oak Bay,01-0160-02,V8S 2G9,,1933 CRESCENT,3025000,2254000,654000,2908000
2023,District of Oak Bay,01-0162-01,T6B 3L9,,1941 CRESCENT,4737000,2287000,2732000,5019000
2023,District of Oak Bay,01-0166-00,V8S 2G9,,1973 CRESCENT,415900,365000,15700,380700
2023,District of Oak Bay,01-0167-00,V8S 2G9,,1973 CRESCENT,2590000,2146000,303000,2449000
2023,District of Oak Bay,01-0169-00,V8S 2G9,,1989 CRESCENT,3787000,2983000,660000,3643000
2023,District of Oak Bay,01-0170-01,V8S 4G6,,309 FOUL BAY,2589000,2526000,566000,3092000
2023,District of Oak Bay,01-0175-00,V8S 4G6,,337 FOUL BAY,1965000,1756000,577000,2333000
2023,District of Oak Bay,01-0176-00,V8S 4G6,,339 FOUL BAY,2902000,2059000,1382000,3441000
2023,District of Oak Bay,01-0176-00,V8S 4G6,,339 FOUL BAY,2902000,2059000,1382000,3441000
2023,District of Oak Bay,01-0177-00,V8S 4G6,, FOUL BAY,95500,115000,0,115000
2023,District of Oak Bay,01-0178-00,V8S 4G6,,345 FOUL BAY,147000,179000,0,179000
2023,District of Oak Bay,01-0183-10,V8S 2H4,,2169 CRESCENT,3327000,2509000,682000,3191000
2023,District of Oak Bay,01-0185-00,V8S 2H4,,2141 CRESCENT,2446000,1384000,1318000,2702000
2023,District of Oak Bay,01-0186-00,V8S 2H4,,2133 CRESCENT,1412000,1384000,147000,1531000
2023,District of Oak Bay,01-0186-00,T0L 1K0,,2133 CRESCENT,1412000,1384000,147000,1531000
2023,District of Oak Bay,01-0187-00,V8S 4K1,,2121 MARNE,1433000,1384000,151000,1535000
2023,District of Oak Bay,01-0188-00,V8S 4K1,,2115 MARNE,1423000,1384000,140000,1524000
2023,District of Oak Bay,01-0189-00,V8S 2H4,,2107 CRESCENT,1407000,1384000,120000,1504000
2023,District of Oak Bay,01-0190-00,V8S 2G9,,2093 CRESCENT,2460000,1384000,1392000,2776000
2023,District of Oak Bay,01-0191-00,V8S 2G9,,2087 CRESCENT,1556000,1263000,424000,1687000
2023,District of Oak Bay,01-0192-00,V8S 2G9,,2079 CRESCENT,1301000,1263000,132000,1395000
2023,District of Oak Bay,01-0193-00,V8S 2G9,,2073 CRESCENT,1581000,1263000,455000,1718000
2023,District of Oak Bay,01-0194-00,V8P 2E4,,2067 CRESCENT,2507000,1263000,1560000,2823000
2023,District of Oak Bay,01-0196-00,V8S 4J8,,2078 MARNE,2852000,2467000,169000,2636000
2023,District of Oak Bay,01-0203-02,V8S 4J9,,2120 MARNE,4158000,2301000,1795000,4096000
2023,District of Oak Bay,01-0203-04,V8S 4J8,,2086 MARNE,3468000,2213000,1232000,3445000
2023,District of Oak Bay,01-0203-05,V8S 4J8,,2092 MARNE,3886000,2375000,1509000,3884000
2023,District of Oak Bay,01-0204-00,V8Y 1E8,,2012 OAK BAY,1018000,601000,554000,1155000
2023,District of Oak Bay,01-0204-00,V8Y 1E8,,2012 OAK BAY,1018000,601000,554000,1155000
2023,District of Oak Bay,01-0204-01,V8R 1G2,, FOUL BAY,11700,11700,0,11700
2023,District of Oak Bay,01-0205-00,V8Y 1E8,,1547 FOUL BAY,847600,864000,65900,929900
2023,District of Oak Bay,01-0206-00,V8R 5A1,,1569 FOUL BAY,1044000,918000,228000,1146000
2023,District of Oak Bay,01-0207-00,V8M 1L4,,1593 FOUL BAY,952000,918000,116000,1034000
2023,District of Oak Bay,01-0208-00,V8R 1H6,,2019 CHAUCER,1082000,1012000,159000,1171000
2023,District of Oak Bay,01-0209-00,V8R 1H6,,2025 CHAUCER,1089000,1007000,170000,1177000
2023,District of Oak Bay,01-0210-00,V8R 1H6,,2033 CHAUCER,1057000,1002000,148000,1150000
2023,District of Oak Bay,01-0211-00,V8R 1H6,,2041 CHAUCER,1048000,997000,141000,1138000
2023,District of Oak Bay,01-0224-00,V8R 6W2,,2080 OAK BAY,20030000,7594000,12443000,20037000
2023,District of Oak Bay,01-0230-00,V8S 2W3,,2024 OAK BAY,1062200,1053000,13700,1066700
2023,District of Oak Bay,01-0231-00,V8N 2Z6,,2014 OAK BAY,2183900,2160000,35400,2195400
2023,District of Oak Bay,01-0231-00,V8N 2Z6,,2014 OAK BAY,2183900,2160000,35400,2195400
2023,District of Oak Bay,01-0233-00,V8R 5A2,,1605 FOUL BAY,820800,807000,89800,896800
2023,District of Oak Bay,01-0234-00,V8R 5A2,,1633 FOUL BAY,1112000,807000,426000,1233000
2023,District of Oak Bay,01-0235-00,V8R 1H7,,2014 CHAUCER,1474000,819000,779000,1598000
2023,District of Oak Bay,01-0236-00,V8T 3C1,,1665 FOUL BAY,945000,916000,110000,1026000
2023,District of Oak Bay,01-0237-00,V8R 5A2,,1683 FOUL BAY,1225000,916000,360000,1276000
2023,District of Oak Bay,01-0238-00,V8R 5A2,,1695 FOUL BAY,944000,916000,128000,1044000
2023,District of Oak Bay,01-0239-00,V8R 1L8,,2021 BYRON,1116000,1077000,135000,1212000
2023,District of Oak Bay,01-0240-01,V8R 1L8,,2027 BYRON,1582000,1078000,662000,1740000
2023,District of Oak Bay,01-0240-02,V8R 1L8,,2035 BYRON,1651000,1077000,740000,1817000
2023,District of Oak Bay,01-0241-00,V8R 1L8,,2039 BYRON,1130000,1077000,151000,1228000
2023,District of Oak Bay,01-0242-00,V8R 1L8,,2047 BYRON,1107000,1077000,125000,1202000
2023,District of Oak Bay,01-0243-00,V8R 1L8,,2059 BYRON,1514000,1077000,633000,1710000
2023,District of Oak Bay,01-0244-00,V8R 1L8,,2079 BYRON,1051600,1077000,71700,1148700
2023,District of Oak Bay,01-0245-00,V8R 1T5,,2083 BYRON,1042600,1077000,59100,1136100
2023,District of Oak Bay,01-0246-00,V8Z 2N4,,2087 BYRON,1073800,1077000,90200,1167200
2023,District of Oak Bay,01-0246-00,V8R 1L8,,2087 BYRON,1073800,1077000,90200,1167200
2023,District of Oak Bay,01-0247-00,V8R 1L8,,2089 BYRON,1241000,1077000,279000,1356000
2023,District of Oak Bay,01-0247-00,V8R 1L8,,2089 BYRON,1241000,1077000,279000,1356000
2023,District of Oak Bay,01-0248-00,V8R 1L8,,2091 BYRON,1079900,1077000,108000,1185000
2023,District of Oak Bay,01-0249-00,V8R 1L8,,2093 BYRON,1044400,1077000,61200,1138200
2023,District of Oak Bay,01-0250-00,V8R 5L6,,1684 ELGIN,1295000,1023000,370000,1393000
2023,District of Oak Bay,01-0251-00,V8R 1H7,,2096 CHAUCER,1225000,1077000,293000,1370000
2023,District of Oak Bay,01-0252-00,V8R 1H7,,2092 CHAUCER,1469000,1077000,546000,1623000
2023,District of Oak Bay,01-0253-00,V8R 1H7,,2090 CHAUCER,1126000,1077000,173000,1250000
2023,District of Oak Bay,01-0254-00,V8R 1H7,,2086 CHAUCER,1833000,1077000,935000,2012000
2023,District of Oak Bay,01-0255-00,V8R 1H7,,2080 CHAUCER,1078700,1077000,102000,1179000
2023,District of Oak Bay,01-0256-00,V8R 1H7,,2072 CHAUCER,1042100,1077000,64000,1141000
2023,District of Oak Bay,01-0257-00,V8R 1H7,,2062 CHAUCER,1103000,1077000,140000,1217000
2023,District of Oak Bay,01-0258-00,,,2052 CHAUCER,1143000,1077000,179000,1256000
2023,District of Oak Bay,01-0259-00,V8R 1H7,,2046 CHAUCER,1098000,1077000,134000,1211000
2023,District of Oak Bay,01-0259-00,V8R 1H7,,2046 CHAUCER,1098000,1077000,134000,1211000
2023,District of Oak Bay,01-0260-00,S4V 2Z7,,2040 CHAUCER,1167000,1077000,222000,1299000
2023,District of Oak Bay,01-0261-00,V8R 1H7,,2034 CHAUCER,2057000,1077000,1232000,2309000
2023,District of Oak Bay,01-0262-00,V8R 1H7,,2026 CHAUCER,2173000,1078000,1349000,2427000
2023,District of Oak Bay,01-0263-00,V8R 1H7,,2020 CHAUCER,1282000,1078000,326000,1404000
2023,District of Oak Bay,01-0264-00,V8R 1L9,,2010 BYRON,884300,916000,48200,964200
2023,District of Oak Bay,01-0265-00,V8R 5A3,,1699 FOUL BAY,898300,916000,58000,974000
2023,District of Oak Bay,01-0266-00,V8R 5A3,,1701 FOUL BAY,894900,916000,57800,973800
2023,District of Oak Bay,01-0267-00,V8R 5A3,,1703 FOUL BAY,891700,916000,58700,974700
2023,District of Oak Bay,01-0269-00,V8R 1N7,,2029 MILTON,1100000,1078000,118000,1196000
2023,District of Oak Bay,01-0270-00,V8R 1N7,,2033 MILTON,1115000,1078000,124000,1202000
2023,District of Oak Bay,01-0270-00,V8R 1N7,,2033 MILTON,1115000,1078000,124000,1202000
2023,District of Oak Bay,01-0271-00,V8V 2C2,,2039 MILTON,1044500,1078000,55200,1133200
2023,District of Oak Bay,01-0272-00,V8R 1N7,,2043 MILTON,1057700,1078000,68000,1146000
2023,District of Oak Bay,01-0277-00,V8R 5L8,,1778 ELGIN,1019000,969000,133000,1102000
2023,District of Oak Bay,01-0278-00,V8R 5L8,,1742 ELGIN,1091000,1023000,159000,1182000
2023,District of Oak Bay,01-0279-00,V8R 1L9,,2094 BYRON,1109000,1077000,147000,1224000
2023,District of Oak Bay,01-0280-00,V8R 1L9,,2092 BYRON,1061500,1077000,80800,1157800
2023,District of Oak Bay,01-0281-00,V8R 1L9,,2090 BYRON,1249000,1077000,289000,1366000
2023,District of Oak Bay,01-0282-00,V8R 1L9,,2086 BYRON,1548000,1077000,612000,1689000
2023,District of Oak Bay,01-0283-00,V8R 1L9,,2078 BYRON,1125000,1077000,145000,1222000
2023,District of Oak Bay,01-0284-00,V8R 1L9,,2064 BYRON,1064800,1077000,86400,1163400
2023,District of Oak Bay,01-0285-00,V8R 1L9,,2052 BYRON,1416000,1258000,294000,1552000
2023,District of Oak Bay,01-0286-00,V8R 1L9,,2050 BYRON,1583000,1077000,668000,1745000
2023,District of Oak Bay,01-0287-00,V8R 1L9,,2038 BYRON,802000,840000,33100,873100
2023,District of Oak Bay,01-0288-00,V8R 1L9,,2034 BYRON,1034600,1067000,61800,1128800
2023,District of Oak Bay,01-0289-00,V8X 5C7,,2028 BYRON,1040000,1077000,53200,1130200
2023,District of Oak Bay,01-0290-00,V8R 1L9,,2022 BYRON,1118000,1078000,137000,1215000
2023,District of Oak Bay,01-0291-00,V8R 1N9,,2002 MILTON,929000,826000,176000,1002000
2023,District of Oak Bay,01-0292-00,V8R 1N9,,2010 MILTON,957000,923000,116000,1039000
2023,District of Oak Bay,01-0293-00,V3A 5A8,,1729 FOUL BAY,895900,918000,63100,981100
2023,District of Oak Bay,01-0294-00,V8R 1N9,,2020 MILTON,1166200,1161000,117000,1278000
2023,District of Oak Bay,01-0294-00,V8R 1N9,,2020 MILTON,1166200,1161000,117000,1278000
2023,District of Oak Bay,01-0296-00,V8R 1N9,,2030 MILTON,1618000,995000,792000,1787000
2023,District of Oak Bay,01-0296-00,V6K 4T5,,2030 MILTON,1618000,995000,792000,1787000
2023,District of Oak Bay,01-0297-00,V8N 1K7,,2034 MILTON,1033700,1083000,0,1083000
2023,District of Oak Bay,01-0298-00,V8N 1K7,,2038 MILTON,1819000,1083000,923000,2006000
2023,District of Oak Bay,01-0299-00,V8R 1N9,,2044 MILTON,1760000,1083000,916000,1999000
2023,District of Oak Bay,01-0300-00,V8R 1N9,,2050 MILTON,1303000,1265000,147000,1412000
2023,District of Oak Bay,01-0301-00,V8R 1N9,,2068 MILTON,1390000,1265000,244000,1509000
2023,District of Oak Bay,01-0302-00,V8R 1N9,,2076 MILTON,1514000,1083000,573000,1656000
2023,District of Oak Bay,01-0303-00,V8R 1N9,,2080 MILTON,1238000,1083000,286000,1369000
2023,District of Oak Bay,01-0304-00,V8R 1N9,,2084 MILTON,1146000,1083000,159000,1242000
2023,District of Oak Bay,01-0308-00,V8R 1G2,, SATELLITE,44400,51100,0,51100
2023,District of Oak Bay,01-0309-00,V8R 1H3,,2395 OAK BAY,1499000,1488000,141000,1629000
2023,District of Oak Bay,01-0310-00,V8Z 3G3,,1447 NEWPORT,2484000,1302000,1713000,3015000
2023,District of Oak Bay,01-0311-00,V8S 5G1,,1435 NEWPORT,1547000,1244000,433000,1677000
2023,District of Oak Bay,01-0312-00,V8S 5G1,,1425 NEWPORT,1364000,1244000,254000,1498000
2023,District of Oak Bay,01-0313-00,V5Z 2L1,,1413 NEWPORT,2485000,1428000,1389000,2817000
2023,District of Oak Bay,01-0316-00,V8S 2N9,,1494 BEACH,2202000,2121000,281000,2402000
2023,District of Oak Bay,01-0317-00,V8S 2N9,,1484 BEACH,2258000,2200000,286000,2486000
2023,District of Oak Bay,01-0318-00,V8S 2N8,,1480 BEACH,3020000,2226000,1097000,3323000
2023,District of Oak Bay,01-0333-00,V8W 9T5,, ,1400,1500,0,1500
2023,District of Oak Bay,01-0334-00,V8S 3B4,,2657 ORCHARD,1294000,1225000,156000,1381000
2023,District of Oak Bay,01-0335-00,V8S 3B4,,2663 ORCHARD,1462000,1224000,355000,1579000
2023,District of Oak Bay,01-0341-00,V8X 4C9,,1270 BEACH,9333000,3693000,6588000,10281000
2023,District of Oak Bay,01-0341-00,V8X 4C9,,1270 BEACH,9333000,3693000,6588000,10281000
2023,District of Oak Bay,01-0343-00,V8R 6A7,,1260 BEACH,2307000,1956000,681000,2637000
2023,District of Oak Bay,01-0344-00,V8S 2N3,,1256 BEACH,1798000,1787000,286000,2073000
2023,District of Oak Bay,01-0345-00,V8S 2N3,,1252 BEACH,1835000,1822000,306000,2128000
2023,District of Oak Bay,01-0346-00,V6K 1W4,,1250 BEACH,2438000,1855000,967000,2822000
2023,District of Oak Bay,01-0347-00,V8S 2N3,,1244 BEACH,2366000,1887000,882000,2769000
2023,District of Oak Bay,01-0348-00,V8S 2N3,,1234 BEACH,1715000,1640000,212000,1852000
2023,District of Oak Bay,01-0349-00,V8S 2N3,,1224 BEACH,1775000,1636000,270000,1906000
2023,District of Oak Bay,01-0351-00,V8S 2N3,,1210 BEACH,1996000,1535000,600000,2135000
2023,District of Oak Bay,01-0352-00,V8S 2N3,,1206 BEACH,1727000,1535000,330000,1865000
2023,District of Oak Bay,01-0353-01,V8S 3A7,,2680 MARGATE,1702000,1014000,825000,1839000
2023,District of Oak Bay,01-0353-02,V8S 3A7,,2670 MARGATE,1656000,1014000,777000,1791000
2023,District of Oak Bay,01-0355-00,V8S 5G6,,1021 DEAL,1866000,1488000,534000,2022000
2023,District of Oak Bay,01-0357-05,V8S 5G6,,1023 DEAL,1470000,1214000,380000,1594000
2023,District of Oak Bay,01-0357-05,V8S 5G6,,1023 DEAL,1470000,1214000,380000,1594000
2023,District of Oak Bay,01-0357-10,V8S 5G6,,1027 DEAL,1438000,1282000,267000,1549000
2023,District of Oak Bay,01-0358-00,V8S 5G6,,1039 DEAL,1334000,1282000,156000,1438000
2023,District of Oak Bay,01-0359-00,V8S 5G6,,1045 DEAL,1305000,1282000,118000,1400000
2023,District of Oak Bay,01-0360-00,V8S 5G6,,1051 DEAL,1204200,1282000,10000,1292000
2023,District of Oak Bay,01-0361-00,V6N 3R1,,1059 DEAL,1407000,1281000,237000,1518000
2023,District of Oak Bay,01-0362-00,V8S 5G6,,1063 DEAL,1270000,1097000,263000,1360000
2023,District of Oak Bay,01-0363-00,V8S 5G6,,1065 DEAL,1391000,1097000,398000,1495000
2023,District of Oak Bay,01-0365-00,V8S 5G6,,1073 DEAL,1405000,1096000,423000,1519000
2023,District of Oak Bay,01-0366-00,V8S 5G6,,1079 DEAL,1474000,1281000,318000,1599000
2023,District of Oak Bay,01-0369-00,V8S 2N4,,1247 BEACH,1334000,1120000,133000,1253000
2023,District of Oak Bay,01-0370-02,V8Z 3P7,,1237 BEACH,3233000,2297000,756000,3053000
2023,District of Oak Bay,01-0370-03,V8Z 3P7,,1231 BEACH,4872000,2498000,2388000,4886000
2023,District of Oak Bay,01-0372-00,V8S 2N4,,1227 BEACH,3665000,2603000,915000,3518000
2023,District of Oak Bay,01-0373-00,V8S 2N4,,1221 BEACH,2691000,2084000,469000,2553000
2023,District of Oak Bay,01-0374-01,V8R 1G2,, SATELLITE,8800,10200,0,10200
2023,District of Oak Bay,01-0375-01,V8R 1G2,, SATELLITE,164000,189000,0,189000
2023,District of Oak Bay,01-0377-00,V8P 2L5,,2768 SATELLITE,7664000,5035000,3406000,8441000
2023,District of Oak Bay,01-0377-00,V8P 2L5,,2768 SATELLITE,7664000,5035000,3406000,8441000
2023,District of Oak Bay,01-0377-01,V8R 1G2,, BEACH,177000,204000,0,204000
2023,District of Oak Bay,01-0378-00,V8R 1G2,, MARGATE,614000,718000,0,718000
2023,District of Oak Bay,01-0379-00,V8R 1G2,, MARGATE,1005000,1162000,0,1162000
2023,District of Oak Bay,01-0380-00,V8R 1G2,, MARGATE,261000,301000,0,301000
2023,District of Oak Bay,01-0384-01,V8S 3A6,,2631 MARGATE,2272000,1185000,1388000,2573000
2023,District of Oak Bay,01-0384-02,V8S 3A6,,2635 MARGATE,1243000,952000,395000,1347000
2023,District of Oak Bay,01-0384-02,V8S 4K9,,2635 MARGATE,1243000,952000,395000,1347000
2023,District of Oak Bay,01-0386-00,V8S 3A6,,2623 MARGATE,1552000,1380000,319000,1699000
2023,District of Oak Bay,01-0386-00,V8S 3A6,,2623 MARGATE,1552000,1380000,319000,1699000
2023,District of Oak Bay,01-0386-00,V8S 3A6,,2623 MARGATE,1552000,1380000,319000,1699000
2023,District of Oak Bay,01-0387-00,V8S 5H8,,999 NEWPORT,1641000,1295000,507000,1802000
